Date,Location,Airplane.model,Fatalities,lon,lat
"Apr 1, 2011 at 1830 LT","Saskatoon, Saskatchewan",Casa 212 Aviocar,1,-106.6700458,52.1332144
"Mar 31, 2011 at 1507 LT","Mayo, Yukon",De Havilland DHC-3 Otter,1,-135.8964919,63.594262
"Mar 30, 2011 at 1200 LT","Zhytomyr, Ukraine",PZL-Mielec AN-2,0,28.6586669,50.25465
"Mar 28, 2011 at 1945 LT","China, China",Cessna 550 Citation II,3,104.195397,35.86166
"Mar 28, 2011 at 0825 LT","Canadian, Texas",Cessna 425 Conquest,0,-100.3820772,35.91282
"Mar 21, 2011 at 1530 LT","Pointe-Noire, Pointe-Noire City District",Antonov AN-12,23,11.866362,-4.7691623
"Mar 20, 2011 at 0900 LT","Seattle, Washington",Convair CV-580,0,-122.3320708,47.6062095
"Mar 16, 2011 at 1029 LT","Long Beach, California",Beechcraft Super King Air 200,5,-118.1937395,33.7700504
"Mar 8, 2011 at 1140 LT","Clayton, Georgia",De Havilland DHC-6 Twin Otter,2,-83.4009933,34.8781479
"Mar 5, 2011 at 1040 LT","Belgorod, Belgorod oblast",Antonov AN-148,6,36.5982621,50.5997134
"Mar 4, 2011","Mexico, Mexico",Cessna 411,3,-102.552784,23.634501
"Mar 2, 2011 at 0905 LT","Oslo, Oslo City",Swearingen SA227AC Metro III,0,10.7522454,59.9138688
"Feb 27, 2011 at 2007 LT","Al Ain, Abu Dhabi (<U+0625><U+0645><U+0627><U+0631><U+0629> <U+0623><U+0628><U+0648> <U+0638><U+0628><U+064A><U+200E>)",Grumman G-21A Goose,4,54.3728215,24.4677979
"Feb 27, 2011 at 1510 LT","La Paz, La Paz",Swearingen SA227AC Metro III,0,-68.1192936,-16.489689
"Feb 24, 2011 at 0800 LT","Horn Island, Queensland",Rockwell Aero Commander 500,1,142.2868647,-10.611642
"Feb 23, 2011 at 2002 LT","Connersville, Indiana",Cessna 421 Golden Eagle,1,-85.1410748,39.6411589
"Feb 18, 2011 at 1104 LT","Pachuca de Soto, Hidalgo",Learjet 24,2,-98.7591311,20.1010608
"Feb 14, 2011","Bukavu, Sud-Kivu",Let 410UVP,2,28.8480284,-2.5123017
"Feb 12, 2011 at 1342 LT","Indonesia, Indonesia",Casa 212 Aviocar,5,113.921327,-0.789275
"Feb 10, 2011 at 0950 LT","Cork, Munster",Swearingen SA227AC Metro III,6,-8.7285446,51.994206
"Feb 8, 2011 at 1640 LT","Plettenberg Bay, Western Cape",Pilatus PC-12,9,23.3644925,-34.0574892
"Feb 4, 2011 at 1749 LT","Sulaymaniyah, As-Sulaymaniyyah (<U+0627><U+0644><U+0633><U+0644><U+064A><U+0645><U+0627><U+0646><U+064A><U+0629>)",Hawker 850XP,7,45.445176,35.5622656
"Jan 27, 2011","Nairobi, Nairobi City District",Fokker F27 Friendship,0,36.8219462,-1.2920659
"Jan 20, 2011 at 1545 LT","Ecuador, Ecuador",De Havilland DHC-6 Twin Otter,6,-78.183406,-1.831239
"Jan 10, 2011 at 2050 LT","Hoedspruit AFB, Mpumalanga",Boeing 737-200,0,31.0449768,-24.3699399
"Jan 9, 2011 at 1945 LT","Orumiyeh, West Azerbaijan",Boeing 727-200,77,45.0786282,37.5498061
"Jan 7, 2011 at 1600 LT","Venezuela, Venezuela",Partenavia P.68,5,-66.58973,6.42375
"Jan 6, 2011 at 1326 LT","Kipnuk, Alaska",Cessna 208B Grand Caravan,0,-164.0833318,59.9401747
"Jan 6, 2011 at 1100 LT","Springfield, Illinois",Learjet 35,0,-89.6501481,39.7817213
"Jan 3, 2011 at 1350 LT","New Stuyahok, Alaska",Beechcraft E18,0,-157.3119443,59.4527778
"Jan 1, 2011 at 1525 LT","Surgut, Khantia-Mansia okrug",Tupolev TU-154,3,73.3845471,61.2559503
"Dec 27, 2010 at 2246 LT","Columbus, Ohio",Rockwell Aero Commander 500,0,-82.9987942,39.9611755
"Dec 20, 2010 at 1000 LT","Perris, California",Rockwell Grand Commander 680,1,-117.2286478,33.7825194
"Dec 15, 2010 at 1530 LT","Nepal, Nepal",De Havilland DHC-6 Twin Otter,22,84.124008,28.394857
"Dec 14, 2010 at 1510 LT","Nassau, New Providence",Beechcraft 18,2,-77.355413,25.0479835
"Dec 4, 2010 at 1436 LT","Moscow, Moscow oblast",Tupolev TU-154,2,37.6172999,55.755826
"Dec 3, 2010 at 2340 LT","Maputo, Maputo City District",Beechcraft 1900C,0,32.6051351,-25.891968
"Nov 29, 2010 at 1330 LT","Tuguegarao, Cagayan",Beechcraft Queen Air 80,0,121.7270206,17.6131813
"Nov 28, 2010 at 1015 LT","Swindon, Wiltshire",Gippsland GA8 Airvan,0,-1.7797176,51.5557739
"Nov 19, 2010 at 1535 LT","Birmingham, West Midlands",Cessna 501 Citation I,0,-1.890401,52.486243
"Nov 19, 2010 at 0900 LT","Paris-Le Bourget, Seine-Saint-Denis",Lockheed C-130 Hercules,0,2.425377,48.936752
"Nov 18, 2010 at 1456 LT","Sana'a, Sana'a (<U+0635><U+0646><U+0639><U+0627><U+0621>)",Lockheed C-130 Hercules,0,44.1904983,15.3485208
"Nov 17, 2010 at 1553 LT","Portland-Hillsboro, Oregon",Learjet 25,0,-122.8827121,45.546474
"Nov 11, 2010 at 1618 LT","Zalingei, Central Darfur",Antonov AN-24,2,23.47687,12.89985
"Nov 10, 2010 at 1100 LT","Anthony, New Mexico",Partenavia P.68,0,-106.6058257,32.0039897
"Nov 4, 2010 at 1751 LT","Cuba, Cuba",ATR72-200,68,-77.781167,21.521757
"Oct 27, 2010 at 1740 LT","Aguadilla, Puerto Rico",Piper PA-31-350 Navajo Chieftain,0,-67.1540698,18.4274454
"Oct 27, 2010 at 1630 LT","Wami, Central Sulawesi",PZL-Mielec AN-28,5,120.7934686,1.121714
"Oct 26, 2010 at 0708 LT","Wentworth, South Yorkshire",Piper PA-31-350 Navajo Chieftain,0,-1.4101903,53.4741403
"Oct 25, 2010 at 1120 LT","Kirby Lake, Alberta",Beechcraft King Air 100,1,-110.7691813,55.4757603
"Oct 24, 2010 at 1200 LT","Santa Isabel, La Pampa",PZL-Mielec AN-2,0,-66.9404965,-36.2321043
"Oct 21, 2010 at 1200 LT","Bukavu, Sud-Kivu",Let 410UVP,2,28.8480284,-2.5123017
"Oct 16, 2010","Mukinge, North-Western",Harbin Yunsunji Y-12,0,25.8551303,-13.480814
"Oct 15, 2010 at 1715 LT","Lady Barron, Tasmania",Gippsland GA8 Airvan,0,148.241667,-40.2125
"Oct 12, 2010 at 1950 LT","Kabul, Kabul",Lockheed C-130 Hercules,8,69.207486,34.5553494
"Oct 6, 2010 at 0800 LT","Coatzacoalcos, Veracruz",Cessna 501 Citation I,8,-94.4589858,18.1344779
"Oct 5, 2010 at 1220 LT","Nassau, New Providence",Cessna 402,9,-77.355413,25.0479835
"Oct 2, 2010 at 1024 LT","Kirensk, Irkutsk oblast",Cessna 208 Caravan,0,108.1240863,57.7746006
"Oct 1, 2010 at 0830 LT","Manteo, North Carolina",Cessna 550 Citation II,0,-75.6757302,35.9082256
"Sep 24, 2010 at 2008 LT","Palermo, Sicily",Airbus A319,0,13.3612671,38.1156879
"Sep 22, 2010 at 1700 LT","Montmagny, Quebec",Beechcraft King Air 100,0,-70.5565719,46.9801031
"Sep 19, 2010 at 1440 LT","South Bimini, Bimini",Piper PA-31-350 Navajo Chieftain,0,-79.2761224,25.700892
"Sep 7, 2010","Uribe, Meta",Beechcraft Super King Air 350,6,-74.350661,3.239241
"Sep 3, 2010 at 1941 LT","Dubai, Dubai",Boeing 747-400,2,55.2707828,25.2048493
"Sep 3, 2010 at 1830 LT","Tuluksak, Alaska",Cessna 207 Skywagon,0,-160.9616668,61.1025
"Sep 2, 2010 at 1151 LT","San Carlos, California",Beechcraft Queen Air 80,3,-122.2605222,37.5071591
"Aug 31, 2010 at 1615 LT","Bwagaoia (Misima Island), Milne Bay",Cessna 550 Citation II,4,152.8485247,-10.6784069
"Aug 26, 2010 at 2245 LT","Tabriz, East Azerbaijan",Fokker 100,0,46.2738013,38.096239
"Aug 25, 2010 at 1756 LT","Tallinn, Harjumaa",Antonov AN-26,0,24.7535747,59.4369608
"Aug 25, 2010 at 1400 LT","Bandundu, Bandundu",Let 410UVP,20,17.3789697,-3.3168087
"Aug 24, 2010 at 2138 LT","Yichun, Heilongjiang",Embraer ERJ-190,44,128.8411471,47.727536
"Aug 24, 2010 at 0725 LT","Kathmandu, Bagmati",Dornier DO228,14,85.3239605,27.7172453
"Aug 21, 2010 at 1412 LT","Kaminshak Bay, Alaska",De Havilland DHC-2 Beaver,4,-153.916389,59.169722
"Aug 13, 2010 at 1500 LT","Mercedes, Buenos Aires province",Piper PA-42 Cheyenne,0,-59.4305996,-34.6510201
"Aug 12, 2010 at 0916 LT","Rio de Janeiro, Rio de Janeiro",Learjet 55 Longhorn,0,-43.1728965,-22.9068467
"Aug 11, 2010 at 0855 LT","Burns, Oregon",Rockwell Aero Commander 500,2,-119.0541032,43.5862606
"Aug 9, 2010 at 1442 LT","Aleknagik, Alaska",De Havilland DHC-3 Otter,5,-158.6177778,59.2730556
"Aug 5, 2010 at 2337 LT","Sydney, Nova Scotia",Cessna 414 Chancellor,2,-60.194224,46.1367899
"Aug 3, 2010 at 1900 LT","Ukraine, Ukraine",PZL-Mielec AN-2,0,31.1655799,48.379433
"Aug 3, 2010 at 0119 LT","Igarka, Krasnoyarsk Krai",Antonov AN-24,12,86.5779764,67.4649215
"Aug 1, 2010 at 1500 LT","Denali National Park, Alaska",Fairchild C-123 Provider,3,-151.1926057,63.1148002
"Jul 31, 2010 at 2024 LT","Lytton, British Columbia",Convair CV-580,2,-121.581404,50.233258
"Jul 28, 2010 at 1822 LT","Elmendorf AFB, Alaska",McDonnell Douglas C-17 Globemaster III,4,-149.8112528,61.2536352
"Jul 28, 2010 at 0130 LT","Conakry, Conakry Region",Boeing 737-700,0,-13.5784012,9.6411855
"Jul 27, 2010 at 1816 LT","Oshkosh, Wisconsin",Raytheon 390 Premier I,0,-88.5426136,44.0247062
"Jul 24, 2010 at 1053 LT","La Grande, Quebec",De Havilland DHC-2 Beaver,2,-78.9886307,53.8393054
"Jul 23, 2010 at 0727 LT","Ketchikan, Alaska",De Havilland DHC-2 Beaver,1,-131.6461112,55.3422222
"Jul 21, 2010 at 0932 LT","Keperveyem, Chukotka okrug",Antonov AN-12,0,166.1637571,67.84536
"Jul 20, 2010 at 1200 LT","Lubumbashi, Katanga",Fokker F27 Friendship,0,27.5026174,-11.6876026
"Jul 19, 2010 at 1400 LT","Mount Pleasant, South Carolina",Comp Air CA-8,1,-79.8284258,32.8323225
"Jul 18, 2010 at 1330 LT","Rankin Inlet, Nunavut",Rockwell Aero Commander 500,0,-92.0852853,62.808375
"Jul 17, 2010 at 0730 LT","Cairo, Cairo",Boeing 747-300,0,31.2357116,30.0444196
"Jul 16, 2010 at 1117 LT","Chute des Passes, Quebec",De Havilland DHC-2 Beaver,4,-71.8091604,50.4172038
"Jul 15, 2010 at 1646 LT","Brac, Dalmatia",Cessna 550 Citation Bravo,0,16.6527099,43.3048913
"Jul 10, 2010 at 2205 LT","Tulsa, Oklahoma",Cessna 421 Golden Eagle,3,-95.992775,36.1539816
"Jul 7, 2010 at 1020 LT","Piedras Negras, Coahuila",Piper PA-31-350 Navajo Chieftain,8,-100.5408622,28.6916182
"Jul 6, 2010 at 1745 LT","Orange, New South Wales",Gippsland GA8 Airvan,0,149.1,-33.283333
"Jul 5, 2010 at 1740 LT","Tuzla, Constan<U+021B>a",PZL-Mielec AN-2,12,29.3020751,40.8512828
"Jul 4, 2010 at 0015 LT","Alpine, Texas",Cessna 421 Golden Eagle,5,-103.6610115,30.3584919
"Jun 30, 2010 at 1540 LT","Wiesbaden-Erbenheim AFB, Hesse",Beechcraft Super King Air 200,0,8.3271111,50.0406526
"Jun 27, 2010 at 1730 LT","Alaska, Alaska",De Havilland DHC-2 Beaver,0,-149.4936733,64.2008413
"Jun 27, 2010 at 1545 LT","Voskresensk, Moscow oblast",PZL-Mielec AN-2,0,38.6815132,55.3238424
"Jun 24, 2010 at 1730 LT","Kokshetau, Akmola",PZL-Mielec AN-2,2,69.4047872,53.2948229
"Jun 23, 2010 at 1050 LT","Puerto Barrios, Izabal",Piper PA-31-350 Navajo Chieftain,2,-88.5855173,15.695364
"Jun 23, 2010 at 0603 LT","Quebec City, Quebec",Beechcraft King Air 100,7,-71.2079809,46.8138783
"Jun 19, 2010 at 1703 LT","Plymouth, Massachusetts",Cessna 401,0,-70.6672621,41.9584457
"Jun 19, 2010 at 1447 LT","Berlin, Berlin",Douglas DC-3,0,-75.2176892,38.3226153
"Jun 19, 2010 at 1000 LT","Congo, Congo",Casa 212 Aviocar,11,15.827659,-0.228021
"Jun 18, 2010 at 1930 LT","Chiclayo, Lambayeque",Dassault Falcon 20,0,-79.8442978,-6.7765974
"Jun 15, 2010 at 0805 LT","Bankstown, New South Wales",Piper PA-31-350 Navajo Chieftain,2,151.03497,-33.91817
"Jun 14, 2010 at 1730 LT","Felipe Carrillo Puerto, Quintana Roo",Cessna 208 Caravan,9,-88.0440957,19.5803342
"Jun 13, 2010 at 1100 LT","Lanseria, Gauteng",Swearingen SA226AC Metro II,0,27.9263647,-25.9400168
"Jun 12, 2010 at 0725 LT","La Carlota-Francisco de Miranda AFB (Caracas), Caracas Federal District",PZL-Mielec AN-28,3,-66.8455195,10.4880756
"May 26, 2010 at 0930 LT","Cartwright, Newfoundland & Labrador",Piper PA-31-350 Navajo Chieftain,2,-57.0233174,53.7070086
"May 26, 2010 at 0855 LT","Guatemala City, Guatemala",Piper PA-31-350 Navajo Chieftain,4,-90.5068824,14.6349149
"May 22, 2010 at 0605 LT","Mangalore, Karnataka",Boeing 737-800,158,74.8559568,12.9141417
"May 21, 2010 at 0020 LT","Luanda, Luanda",Beechcraft Super King Air 200,3,13.2894368,-8.8399876
"May 17, 2010 at 0937 LT","Afghanistan, Afghanistan",Antonov AN-24,44,67.709953,33.93911
"May 15, 2010 at 1510 LT","Suriname, Suriname",PZL-Mielec AN-28,8,-56.027783,3.919305
"May 12, 2010 at 1200 LT","Astrakhan, Astrakhan oblast",PZL-Mielec AN-2,0,48.0599345,46.3588045
"May 12, 2010 at 0601 LT","Tripoli, Tripoli (<U+0637><U+0631><U+0627><U+0628><U+0644><U+0633>)",Airbus A330,103,13.2230676,32.8478148
"May 6, 2010 at 1026 LT","Krasnodar, Krasnodar Krai",PZL-Mielec AN-2,0,38.9872209,45.0392674
"May 6, 2010","Brize Norton AFB, Oxfordshire",Lockheed C-130 Hercules,0,-1.5842109,51.7613476
"May 4, 2010 at 0817 LT","Odessa, Odessa Oblast",PZL-Mielec AN-2,0,30.7233095,46.482526
"Apr 27, 2010 at 1830 LT","Arlit, Agadez",Beechcraft Super King Air 200,0,7.3894772,18.7390029
"Apr 21, 2010 at 2050 LT","Mexico City, Pampanga",Antonov AN-12,3,120.7005044,15.0986624
"Apr 20, 2010 at 1420 LT","Waipukurau, Hawke's Bay Regional Council",Fletcher FU-24,0,176.538624,-39.9921881
"Apr 13, 2010 at 1055 LT","Manokwari, Special Region of West Papua",Boeing 737-300,0,134.1197771,-0.8758091
"Apr 12, 2010 at 1525 LT","Georgia, Georgia",Rockwell Sabreliner 65,4,-82.9000751,32.1656221
"Apr 10, 2010 at 1041 LT","Smolensk, Smolensk oblast",Tupolev TU-154,96,32.0503663,54.7903112
"Apr 1, 2010 at 1300 LT","Bahias de Huatulco, Oaxaca",Learjet 25,0,-96.1398126,15.7731145
"Mar 31, 2010 at 1400 LT","Indian Ocean, World",Grumman E-2C Hawkeye,1,81.826172,-33.137551
"Mar 30, 2010 at 1400 LT","Ivanovo, Ivanovo oblast",Antonov AN-74,0,40.9766453,57.0050671
"Mar 22, 2010 at 1009 LT","Darwin, Northern Territory",Embraer EMB-120 Brasília,2,130.8456418,-12.4634403
"Mar 22, 2010 at 0235 LT","Moscow, Moscow oblast",Tupolev TU-204,0,37.6172999,55.755826
"Mar 18, 2010 at 1018 LT","Tallinn, Harjumaa",Antonov AN-26,0,24.7535747,59.4369608
"Mar 15, 2010 at 1243 LT","Kodiak, Alaska",Britten-Norman Islander,0,-152.4072221,57.79
"Mar 12, 2010","Port Harcourt, Rivers",Aeritalia G.222,0,7.0498442,4.815554
"Mar 4, 2010 at 1245 LT","Louisa, Virginia",Cessna 303 Crusader,1,-78.0041649,38.0251394
"Mar 4, 2010","Bossaso, Bari (<U+0628><U+0627><U+0631><U+064A><U+200E>)",Fokker F27 Friendship,0,49.1960306,11.2522668
"Mar 1, 2010 at 1715 LT","Gaithersburg, Maryland",Socata TBM-700,0,-77.2013705,39.1434406
"Mar 1, 2010 at 1210 LT","Bagram AFB, Parwan",Airbus A300,0,69.273567,34.9444758
"Mar 1, 2010 at 0745 LT","Mwanza, Mwanza Region",Boeing 737-200,0,32.9174517,-2.5164305
"Feb 14, 2010 at 2038 LT","Dresden, Saxony",Cessna 550 Citation Bravo,2,13.7372621,51.0504088
"Feb 12, 2010 at 1404 LT","Forest City, Iowa",Piper PA-31 Cheyenne,1,-93.6371937,43.2624685
"Feb 11, 2010 at 1150 LT","Balikpapan, East Kalimantan",ATR42-300,0,116.8528526,-1.2379274
"Feb 2, 2010 at 0210 LT","Munich, Bavaria",Cessna 425 Conquest,0,11.5819805,48.1351253
"Jan 31, 2010 at 1513 LT","Luanda, Luanda",Yakovlev Yak-40,0,13.2894368,-8.8399876
"Jan 28, 2010 at 1138 LT","Cotabato City, Maguindanao",GAF Nomad N22,9,124.2310439,7.2046668
"Jan 25, 2010 at 0241 LT","Beirut, Beirut Governorate",Boeing 737-800,90,35.4954772,33.8886106
"Jan 24, 2010 at 0720 LT","Mashhad, Razavi Khorasan",Tupolev TU-154,0,59.6167549,36.2604623
"Jan 21, 2010 at 2345 LT","Sand Point, Alaska",Beechcraft 1900C,2,-160.4972222,55.3397222
"Jan 18, 2010 at 1405 LT","Lorain, Ohio",Mitsubishi MU-2 Marquise,4,-82.1823746,41.452819
"Jan 15, 2010 at 1407 LT","Oxford, Oxfordshire",Piper PA-31-350 Navajo Chieftain,2,-1.2577263,51.7520209
"Jan 14, 2010 at 0645 LT","Beagle Bay, Western Australia",Cessna 208 Caravan,0,122.6651831,-16.9830116
"Jan 13, 2010 at 1200 LT","Moba, Katanga",De Havilland Dash-8-100,0,29.7628712,-7.0368478
"Jan 8, 2010 at 1225 LT","Vail, Colorado",Dassault Falcon 20,0,-106.3741955,39.6402638
"Jan 7, 2010 at 1145 LT","Nassau, New Providence",Saab 340,0,-77.355413,25.0479835
"Jan 6, 2010 at 0635 LT","Kerney, Nebraska",Beechcraft 99,0,-99.0816784,40.6993303
"Jan 5, 2010 at 1327 LT","Chicago, Illinois",Learjet 35,2,-87.6297982,41.8781136
"Jan 2, 2010","Kinshasa, Kinshasa City Province",Boeing 727-200,0,15.2662931,-4.4419311
"Dec 31, 2009 at 0826 LT","Ketapang, West Kalimantan",Fletcher FU-24,2,110.5215459,-1.5697615
"Dec 29, 2009 at 1800 LT","Vomo Island, Fiji Islands",De Havilland DHC-3 Otter,0,177.2680507,-17.4918893
"Dec 22, 2009 at 2222 LT","Kingston, Kingston City District",Boeing 737-800,0,-74.0220425,41.9343585
"Dec 20, 2009 at 1200 LT","Tonj, Warrap (<U+0648><U+0627><U+0631><U+0627><U+0628>)",Avro 748,1,28.6654557,7.2757815
"Dec 17, 2009 at 2130 LT","Matthew Town, Inagua",Dassault Falcon 20,2,-73.6683371,20.9408006
"Dec 13, 2009 at 1100 LT","Chelyabinsk, Chelyabinsk oblast",Technoavia SM-92 Turbo Finist,8,61.4368432,55.1644419
"Dec 9, 2009 at 2250 LT","Chicoutimi, Quebec",Beechcraft King Air 100,2,-71.1385136,48.3516735
"Dec 7, 2009 at 1616 LT","Egelsbach, Hesse",Beechcraft King Air 90,3,8.6633158,49.9663895
"Dec 7, 2009 at 1101 LT","George, Western Cape",Embraer ERJ-135,0,22.4529878,-33.9881281
"Dec 5, 2009 at 1830 LT","Honduras, Honduras",Cessna 303 Crusader,1,-86.241905,15.199999
"Dec 4, 2009 at 1845 LT","Harrison, Michigan",Piper PA-31 Cheyenne,1,-84.7994675,44.0191862
"Dec 2, 2009 at 2215 LT","Kupang, East Nusa Tenggara",Fokker 100,0,123.6070329,-10.1771997
"Nov 28, 2009 at 1603 LT","Saturna Island, British Columbia",De Havilland DHC-2 Beaver,6,-123.1653007,48.7820442
"Nov 28, 2009 at 0814 LT","Shanghai, Shanghai",McDonnell Douglas MD-11,3,-122.1912998,47.6189955
"Nov 23, 2009 at 1410 LT","Pisa, Tuscany",Lockheed C-130 Hercules,5,10.4016888,43.7228386
"Nov 19, 2009 at 1514 LT","Bamako, Bamako City District",De Havilland Dash-8-200,0,-8.0028892,12.6392316
"Nov 19, 2009 at 1100 LT","Goma, Nord-Kivu",McDonnell Douglas MD-82,0,29.2204548,-1.658501
"Nov 18, 2009 at 2156 LT","Norfolk Island, Australia",IAI 1124 Westwind,0,167.954712,-29.040835
"Nov 15, 2009 at 0658 LT","Windhoek, Khomas Region",Cessna 208 Caravan,3,17.0657549,-22.5608807
"Nov 14, 2009 at 1018 LT","Fort Myers, Florida",Travel Air 4000,0,-81.8723084,26.640628
"Nov 12, 2009 at 1250 LT","Kigali, Kigali City",Canadair RegionalJet CRJ-100,1,30.1044288,-1.9705786
"Nov 10, 2009 at 1640 LT","Mumbai, Maharashtra",ATR72-200,0,72.8776559,19.0759837
"Nov 9, 2009 at 1200 LT","Nairobi, Nairobi City District",Beechcraft 1900D,2,36.8219462,-1.2920659
"Nov 9, 2009 at 1009 LT","Greenville, South Carolina",Beechcraft Super King Air 200,0,-82.3940104,34.8526176
"Nov 7, 2009","Ivanovo, Ivanovo oblast",Ilyushin II-76,0,40.9766453,57.0050671
"Nov 6, 2009 at 2119 LT","Tatar Strait, Sakhalin oblast",Tupolev TU-142,11,140.5888856,47.9601604
"Nov 2, 2009 at 1200 LT","Mulia, Special Region of Papua",PZL-Mielec AN-28,4,140.5086012,-8.3768839
"Oct 29, 2009 at 1909 LT","San Clemente Island, California",Lockheed C-130 Hercules,7,-118.4980744,32.9028812
"Oct 29, 2009 at 0915 LT","Brazil, Brazil",Cessna 208 Caravan,2,-73.9892498,40.7601055
"Oct 26, 2009 at 2134 LT","Minsk, City of Minsk",BAe 125,5,27.5615244,53.9045398
"Oct 26, 2009 at 1143 LT","McAllen, Texas",Beechcraft King Air 100,4,-98.2300124,26.2034071
"Oct 22, 2009 at 1045 LT","Kralendijk, Dutch Antilles",Britten-Norman Islander,1,-68.2655456,12.1443491
"Oct 21, 2009 at 1531 LT","Sharjah, Sharjah (<U+0627><U+0644><U+0634><U+0627><U+0631><U+0642><U+0629><U+0651>)",Boeing 707,6,55.4042086,25.3077352
"Oct 17, 2009 at 1238 LT","Manila, Metro Manila",Douglas C-47 Skytrain (DC-3),4,120.9842195,14.5995124
"Oct 16, 2009 at 0824 LT","Weert, Limburg",Pilatus PC-12,2,5.7142222,51.2439415
"Oct 15, 2009 at 1400 LT","Kwamalasamutu, Sipaliwini",PZL-Mielec AN-28,0,-56.794578,2.3561967
"Oct 14, 2009 at 1600 LT","Managua, Managua City District",PZL-Mielec AN-2,0,-86.2361744,12.1149926
"Oct 13, 2009","Mombasa, Coast",Boeing 707,0,39.6682065,-4.0434771
"Oct 13, 2009","Afghanistan, Afghanistan",Beechcraft Super King Air 200,3,67.709953,33.93911
"Oct 12, 2009","Angra dos Reis, Rio de Janeiro",Embraer EMB-500 Phenom 100,0,-44.3157913,-23.0058039
"Oct 9, 2009 at 1200 LT","Fonds-Verrettes, West",Casa 212 Aviocar,11,-71.852686,18.39716
"Oct 9, 2009 at 1030 LT","Modena, Emilia-Romagna",Partenavia P.68,2,10.9252269,44.647128
"Oct 8, 2009","Kandahar, Kandahar",Antonov AN-32,0,65.7371749,31.628871
"Oct 6, 2009 at 1450 LT","Aurora, Texas",Beechcraft King Air 100,0,-97.5033561,33.0606784
"Sep 24, 2009 at 0757 LT","Durban, KwaZulu-Natal",Bae Jetstream 41,1,31.0218404,-29.8586804
"Sep 22, 2009 at 0930 LT","Varamin, Tehran City District",Ilyushin II-76,7,51.6471987,35.3252407
"Sep 16, 2009 at 1215 LT","Hayward, California",Beechcraft Super King Air 200,0,-122.0807964,37.6688205
"Sep 15, 2009 at 1435 LT","Sheffield, Massachusetts",Cessna 208 Caravan,0,-73.3551436,42.1099885
"Sep 14, 2009 at 1920 LT","Nairobi, Nairobi City District",Cessna 404 Titan,1,36.8219462,-1.2920659
"Sep 9, 2009","Kirovograd, Kirovograd oblast",PZL-Mielec AN-2,0,32.262317,48.507933
"Sep 7, 2009 at 1428 LT","Long Apung, North Kalimantan",GAF Nomad N24,5,114.9516869,1.3438635
"Aug 28, 2009 at 1800 LT","Nellis AFB, Nevada",Boeing E-3 Sentry,0,-115.0508066,36.2414162
"Aug 26, 2009 at 0810 LT","La Tortuga, Los Roques Federal Dependencies",Cessna 208B Grand Caravan,0,-65.3094564,10.9336421
"Aug 26, 2009 at 0500 LT","Brazzaville, Brazzaville City District",Antonov AN-12,6,15.2428853,-4.2633597
"Aug 16, 2009 at 1805 LT","Caracas, Caracas Federal District",Britten-Norman Islander,0,-66.9036063,10.4805937
"Aug 15, 2009 at 1200 LT","Zarafshon, Navoiy Province (Navoiy viloyati)",Antonov AN-24,0,64.183316,41.5743663
"Aug 14, 2009 at 1908 LT","Evora, Alto Alentejo",Beechcraft 99,2,-7.914659,38.5858
"Aug 12, 2009 at 1145 LT","Eden Prairie, Minnesota",Beechcraft E18,2,-93.470786,44.8546856
"Aug 11, 2009 at 1114 LT","Kokoda, Central",De Havilland DHC-6 Twin Otter,13,151.3511031,-33.3949746
"Aug 3, 2009 at 1000 LT","Ahwaz, Khuzestan",Boeing 707,0,48.6706187,31.3183272
"Jul 25, 2009 at 1805 LT","Mashhad, Razavi Khorasan",Ilyushin II-62,16,59.6167549,36.2604623
"Jul 24, 2009","Salt Cay, Turks and Caicos Islands",Cessna 401,0,-71.2072321,21.329294
"Jul 15, 2009 at 1133 LT","Qazvin, Qazvin",Tupolev TU-154,168,49.998236,36.2736589
"Jul 11, 2009 at 1300 LT","Akiachak, Alaska",Noorduyn Norseman,0,-161.4313889,60.9094444
"Jul 9, 2009 at 2208 LT","Vancouver, British Columbia",Piper PA-31-350 Navajo Chieftain,2,-123.1207375,49.2827291
"Jul 8, 2009 at 1352 LT","Florida, Florida",Cessna 421 Golden Eagle,5,-81.5157535,27.6648274
"Jul 5, 2009 at 1002 LT","Lynchburg, Virginia",Pilatus PC-12,4,-79.1422464,37.4137536
"Jun 30, 2009 at 0154 LT","Moroni, Comoros Islands",Airbus A310,152,43.26505,-11.6557739
"Jun 23, 2009 at 1045 LT","Barcelona, Catalonia",Partenavia P.68,2,2.1734035,41.3850639
"Jun 16, 2009 at 1620 LT","Crooked Creek, Alaska",Cessna 207 Skywagon,0,-158.1108333,61.87
"Jun 13, 2009 at 1130 LT","Krasnodar, Krasnodar Krai",PZL-Mielec AN-2,0,38.9872209,45.0392674
"Jun 8, 2009","India, India",Antonov AN-32,13,33.358043,35.155561
"Jun 7, 2009 at 1400 LT","Anchorage, Alaska",De Havilland DHC-2 Beaver,0,-149.9002778,61.2180556
"Jun 7, 2009 at 0830 LT","Port Hope Simpson, Newfoundland & Labrador",Britten-Norman Islander,1,-56.3001874,52.5433087
"Jun 6, 2009 at 0820 LT","Sittwe, Rakhine State",Fokker F28 Fellowship,0,92.8676861,20.1527657
"Jun 2, 2009 at 1009 LT","Halaveli (Alifu Alifu Atoll), North Central Province",De Havilland DHC-6 Twin Otter,0,72.919849,4.0383729
