"","Date","Location","Airplane.model","Fatalities","lon","lat"
"236","Jan 25, 2010 at 1430 LT","Senador José Porfírio, Pará","Embraer EMB-110 Bandeirante",2,-51.9491551,-2.5863778
"237","Mar 23, 2009 at 0649 LT","Tokyo-Narita, Kanto","McDonnell Douglas MD-11",2,140.3928501,35.7719867
"238","Feb 12, 2009 at 1612 LT","Samedan, Graubünden","Dassault Falcon 10",2,9.8729339,46.5339944
"239","Dec 3, 2008 at 1200 LT","Monteria, Córdoba","Rockwell Shrike Commander 500S",2,-75.8785348,8.750983
"240","Mar 31, 2008 at 0700 LT","Lençois, Maranhão","Neiva NE-821 Carajá",2,-43.128407,-2.4859385
"241","Nov 4, 2007 at 1200 LT","Santa Elena, Petén","Beechcraft King Air 100",2,-89.8926065,16.9181251
"242","Oct 7, 2007 at 2140 LT","Santo Domingo, Mérida","Gulfstream GII",2,-70.6915699,8.8634466
"243","Aug 22, 2007 at 0038 LT","Curitiba, Paraná","Embraer EMB-110 Bandeirante",2,-49.2653819,-25.4244287
"244","Jul 23, 2007 at 1546 LT","Eubee Island, Central Greece / Ste","Canadair CL-415",2,NA,NA
"245","Jul 5, 2007 at 1449 LT","Aerfort na Minna ","Cessna 208 Caravan",2,NA,NA
"246","Dec 30, 2006 at 1730 LT","Culiacán Rosales, Sinaloa","Rockwell Sabreliner 40R",2,-107.3940117,24.8090649
"247","Aug 11, 2006 at 1700 LT","Caño Negro, Cojedes","Cessna 207 Skywagon",2,-68.3613589,8.670116
"248","Aug 11, 2006 at 1115 LT","La Serena, Región de Coquimbo","Piper PA-31-350 Navajo Chieftain",2,-71.2519374,-29.9026691
"249","Feb 12, 2006 at 2115 LT","El Petén, Petén","Grumman G-159 Gulfstream GI",2,-90.2995785,16.912033
"250","Jan 12, 2006 at 1826 LT","Freiburg im Breisgau, Baden-Württemberg","Beechcraft Super King Air 350",2,7.8421043,47.9990077
"251","Aug 20, 2005 at 1000 LT","Aubenas, Ardèche","Grumman S-2 Tracker",2,4.389863,44.620909
"252","Mar 8, 2005 at 1200 LT","La Paragua, Bolívar","PZL-Mielec AN-2",2,-63.3505606,6.8352019
"253","Feb 22, 2005 at 1343 LT","Bimin, Western ","De Havilland DHC-6 Twin Otter",2,-80.1810802,26.7080111
"254","Feb 11, 2005 at 2110 LT","Toluca, México","Rockwell Aero Commander 685",2,-99.6556653,19.2826098
"255","Dec 21, 2004 at 1219 LT","Galapagos Islands, Galápagos","Partenavia P.68",2,-90.9656019,-0.9537691
"256","Oct 16, 2004 at 1530 LT","Coron Island, Palawan","Britten-Norman Islander",2,120.2397336,11.9283293
"257","Aug 3, 2004","La Ceiba, Atlántida","Rockwell Aero Commander 700",2,-86.7919009,15.770288
"258","Jun 28, 2004 at 1710 LT","São Sebastião, Nampula","Beechcraft Super King Air 200",2,40.7435752,-15.0288462
"259","May 5, 2004 at 1630 LT","Vallecillos, Nuevo León","Britten-Norman Islander",2,-99.9872936,26.6595908
"260","Feb 23, 2004","Teresina, Piauí","Embraer EMB-820 Navajo",2,-42.8037597,-5.0920108
"261","Aug 12, 2003","Seoul, Seoul ","Beechcraft Super King Air 200",2,126.9779692,37.566535
"262","Feb 13, 2003 at 0843 LT","Florencia, Caquetá","Cessna 208 Caravan",2,-75.6042364,1.6153858
"263","Dec 21, 2002 at 0152 LT","Makung, Penghu County ","ATR72-200",2,119.5774616,23.5706269
"264","Jul 1, 2002 at 2335 LT","Konstanz, Baden-Württemberg","Boeing 757",2,9.1732384,47.6779496
"265","Feb 14, 2002 at 1720 LT","Samedan, Graubünden","Beechcraft Super King Air 300",2,9.8729339,46.5339944
"266","Dec 20, 2001 at 2206 LT","Zurich, Zurich","Cessna 560 Citation V",2,8.541694,47.3768866
"267","Mar 6, 2001 at 0857 LT","Keflavik, Southern Peninsula ","Rockwell Aero Commander 500",2,-22.5582716,63.9997549
"268","Jan 11, 2001","Jequié, Bahia","Embraer EMB-820 Navajo",2,-40.0837763,-13.8590592
"269","Sep 6, 2000 at 0903 LT","Aubenas, Ardèche","Lockheed C-130 Hercules",2,4.389863,44.620909
"270","Jul 15, 2000","Volos, Thessaly / Tessa","Canadair CL-215",2,NA,NA
"271","May 2, 2000 at 1439 LT","Lyon, Rhône","Learjet 35",2,4.835659,45.764043
"272","Apr 2, 2000 at 1440 LT","Münster-Osnabrück, North Rhine-Westphalia","Cessna 441 Conquest",2,7.6861545,52.1336691
"273","Dec 22, 1999 at 1830 LT","Monterrey, Nuevo León","Cessna 414 Chancellor",2,-100.3161126,25.6866142
"274","Sep 14, 1999 at 2130 LT","Monte Dourado, Pará","Embraer EMB-110 Bandeirante",2,-52.5349937,-0.8678172
"275","Sep 5, 1999 at 1700 LT","Issoire, Puy-de-Dôme","Dassault M.D.315 Flamant",2,3.248128,45.54151
"276","Jun 30, 1999 at 0441 LT","Liège, Liège","Beechcraft 99",2,5.5796662,50.6325574
"277","Mar 23, 1999 at 1910 LT","Franca, São Paulo","Beechcraft King Air 90",2,-47.4013437,-20.5393288
"278","Dec 16, 1998 at 0730 LT","Tegucigalpa, Francisco Morazán","Piper PA-31-350 Navajo Chieftain",2,-87.192136,14.0722751
"279","Dec 5, 1998 at 1210 LT","Istanbul, Marmara Region ","Beechcraft Super King Air 350",2,28.9783589,41.0082376
"280","Sep 18, 1998","San José, San José ","Piper PA-31-350 Navajo Chieftain",2,-84.0907246,9.9280694
"281","May 26, 1998 at 0615 LT","Brno, Moravian-Silesian Region ","Pilatus PC-12",2,18.007394,49.6060661
"282","May 1, 1998 at 1630 LT","Alençon, Orne","Beechcraft King Air 90",2,0.091266,48.432856
"283","Jan 13, 1998 at 1832 LT","Brno, Moravian-Silesian Region ","Let 410UVP",2,18.007394,49.6060661
"284","Jul 21, 1997 at 1308 LT","Ranong, Ranong ","Learjet 31",2,98.6084641,9.9528702
"285","Feb 1, 1997","Cagayán de Oro, Misamis Oriental","Cessna 500 Citation",2,124.6318977,8.4542363
"286","Jul 25, 2017 at 1748 LT","Eteringbang, Guyana","Britten-Norman Islander",1,NA,NA
"287","Apr 12, 2017 at 1245 LT","Oksibil, Special Region of Papua","Cessna 208 Caravan",1,NA,NA
"288","Mar 5, 2017 at 1916 LT","Kamphaeng Saen, Nakhon Pathom ","Pilatus PC-12",1,99.9465077,14.0340841
"289","Nov 24, 2016 at 1200 LT","Zielona Góra-Przylep, Lubusz Voivodeship ","Piper PA-31-310 Navajo",1,15.4496511,51.9686735
"290","Aug 12, 2015 at 0845 LT","Ninia, Special Region of Papua","PAC 750XL - Pacific Aerospace Corporation",1,NA,NA
"291","Aug 9, 2015 at 1415 LT","Barkárdal, Northeastern Region ","De Havilland DHC-2 Beaver",1,NA,NA
"292","Aug 1, 2015 at 0740 LT","Stancu","PZL-Mielec AN-2",1,-87.695534,41.8608202
"293","Jun 20, 2015 at 1256 LT","Nuquí, Chocó","Cessna 303 Crusader",1,-77.2666969,5.709563
"294","Jun 8, 2015 at 1700 LT","Ukrainka AFB, Amur oblast","Tupolev TU-95",1,NA,NA
"295","Aug 1, 2013 at 1200 LT","Eilat ","Piper PA-31-350 Navajo Chieftain",1,34.951925,29.557669
"296","Jun 10, 2013 at 1000 LT","N'Gaoundéré, Adamaoua","Cessna 208 Caravan",1,13.5668302,7.3381488
"297","Apr 7, 2013 at 1613 LT","Sao Tomé, Água Grande","Beechcraft 1900C",1,6.733343,0.3301924
"298","Jul 22, 2012 at 1200 LT","Bolshoe Gryzlovo, Moscow oblast","Let 410UVP",1,NA,NA
"299","Apr 20, 2012 at 1430 LT","Jundiaí, São Paulo","Beechcraft King Air 90",1,-46.8978057,-23.1857076
"300","Nov 23, 2011 at 0942 LT","Bilogai-Sugapa, Special Region of Papua","Cessna 208B Grand Caravan",1,NA,NA
"301","Nov 10, 2011 at 1414 LT","Ecuvillens, Fribourg","Piper PA-31-350 Navajo Chieftain",1,7.083334,46.750004
"302","Nov 9, 2011 at 0915 LT","Lyon, Rhône","Socata TBM-700",1,4.835659,45.764043
"303","Sep 3, 2011 at 1200 LT","Vinnitsa, Vinnytsia Oblast","PZL-Mielec AN-2",1,28.4682169,49.233083
"304","Aug 22, 2011 at 1200 LT","Choigan-Khole Lake, Republic of Tuva","PZL-Mielec AN-2",1,NA,NA
"305","May 2, 2011 at 0809 LT","Miami-Opa Locka, Florida","Beechcraft E18",1,-80.2503271,25.9023168
"306","Dec 20, 2010 at 1700 LT","Wynella Station, Queensland","Fletcher FU-24",1,NA,NA
"307","Aug 5, 2010 at 2216 LT","Bequia Island, SV&G","Cessna 402",1,NA,NA
"308","Feb 12, 2010 at 1700 LT","Cascais, Estremadura - Lisbon District","PAC 750XL - Pacific Aerospace Corporation",1,-9.4207438,38.6967571
"309","Oct 6, 2009 at 1938 LT","Umgalala, White Nile ","PZL-Mielec AN-2",1,NA,NA
"310","Aug 4, 2009 at 1430 LT","Koh Samui, Surat Thani ","ATR72-200",1,100.0135929,9.5120168
"311","Jun 6, 2009 at 1300 LT","Santa Rosa del Toachi, Santo Domingo de los Tsáchilas","Cessna 303 Crusader",1,-79.1578704,-0.2488603
"312","May 10, 2009 at 0200 LT","Útila, Islas de la Bahía","BAe Jetstream 31",1,-86.9273532,16.0949604
"313","Apr 17, 2009 at 1532 LT","Canaima, Bolívar","Cessna 208 Caravan",1,-62,5.5
"314","Mar 6, 2009 at 1000 LT","Lop Buri AFB, Lop Buri ","GAF Nomad N22",1,100.6634116,14.8745747
"315","Dec 14, 2008 at 1200 LT","Tarata, Taranaki Regional Council","PAC Cresco 08-600",1,NA,NA
"316","Oct 12, 2008 at 1200 LT","Bauru, São Paulo","Beechcraft King Air 100",1,-49.0586951,-22.314459
"317","Aug 16, 2008 at 1030 LT","Tukums, Semigallia ","Piper PA-31-350 Navajo Chieftain",1,NA,NA
"318","Aug 9, 2008 at 2000 LT","Ndundu, Special Region of Papua","Pilatus PC-6 (Porter & Turbo Porter)",1,NA,NA
"319","Jun 7, 2008 at 1345 LT","Yeco, Región de Valparaíso","Cessna 208 Caravan",1,-71.6450828,-33.3073363
"320","Jan 11, 2008 at 1200 LT","Trbovlje, Central Sava ","PZL-Mielec AN-2",1,NA,NA
"321","Feb 12, 2007 at 1020 LT","Zweibrücken, Rhineland-Palatinate","Piper PA-31 Cheyenne",1,7.3634022,49.2450528
"322","Jan 25, 2007 at 1124 LT","Pau, Pyrénées-Atlantiques","Fokker 100",1,-0.370797,43.2951
"323","Jan 7, 2007 at 2002 LT","Sandy Bay, Saskatchewan","Beechcraft King Air 100",1,-102.315742,55.525592
"324","Apr 16, 2006 at 1137 LT","Guayaramerín, Beni","Fokker F27 Friendship",1,-65.3688335,-10.8237579
"325","Sep 1, 2005 at 1630 LT","Elross Lake, Quebec","De Havilland DHC-2 Beaver",1,NA,NA
"326","Mar 29, 2005","Itaituba, Pará","Cessna 208 Caravan",1,-55.9931173,-4.2670701
"327","Aug 20, 2004 at 1334 LT","Clarkson-Ledgedale, New York","Piper PA-31-350 Navajo Chieftain",1,NA,NA
"328","May 19, 2004 at 1040 LT","Bozoy, Aktobe","PZL-Mielec AN-2",1,NA,NA
"329","Jan 28, 2004 at 2055 LT","Ghardaïa, Ghardaïa","Beechcraft 1900D",1,3.6738412,32.4902246
"330","Oct 11, 2003 at 1600 LT","Urimán, Bolívar","PZL-Mielec AN-2",1,-62.65,5.35
"331","Aug 8, 2003 at 0932 LT","Tocomita ","Cessna 208 Caravan",1,-63.2752175,7.4274505
"332","Jul 23, 2003 at 0840 LT","Sorocaba, São Paulo","Cessna 551 Citation II",1,-47.4525944,-23.5015338
"333","Jun 22, 2003 at 2351 LT","Brest, Finistère","Canadair RegionalJet CRJ-100",1,-4.486076,48.390394
"334","Feb 28, 2003 at 1115 LT","Uyuni, Potosí","Cessna 411",1,-66.8260649,-20.4603534
"335","Dec 27, 2002 at 1215 LT","Mutsamudu, Comoros Islands","Let 410UVP",1,NA,NA
"336","Nov 25, 2000 at 0604 LT","Córdoba, Andalusia","Aérospatiale SN.601 Corvette",1,-4.7793835,37.8881751
"337","Oct 20, 2000 at 0800 LT","Mannheim, Baden-Württemberg","Cessna 303 Crusader",1,8.4660395,49.4874592
"338","Sep 9, 2000 at 1800 LT","Manta, Manabí","Dornier DO.28D Skyservant",1,-80.7089101,-0.9676533
"339","Jul 8, 2000 at 0455 LT","Antillean Sea, World","Cessna 402",1,NA,NA
"340","Jun 29, 2000","Kamina, Gulf","Cessna 402",1,NA,NA
"341","Apr 1, 2000 at 0800 LT","Estancia Las Cruces, Buenos Aires province","Cessna 208 Caravan",1,NA,NA
"342","Mar 21, 2000","Bursa, Marmara Region ","Beechcraft King Air 90",1,29.2320784,40.0655459
"343","Oct 2, 1998 at 0945 LT","Canaima, Bolívar","Douglas DC-3",1,-62,5.5
"344","Sep 18, 1998 at 1428 LT","Antillean Sea, World","GAF Nomad N22",1,NA,NA
"345","Nov 17, 1997 at 1200 LT","Marseille, Bouches-du-Rhône","Canadair CL-415",1,5.36978,43.296482
"346","Feb 14, 1997 at 1234 LT","Carajas, Pará","Boeing 737-200",1,-50.0666951,-6.0703064
"347","Jul 29, 2017 at 0910 LT","Sao Tomé, Água Grande","Antonov AN-74",0,6.733343,0.3301924
"348","Jul 18, 2017 at 1239 LT","Wamena, Special Region of Papua","Boeing 737-300",0,138.9516853,-4.1001213
"349","Jun 3, 2017 at 1030 LT","Garbaharey, Geedo ","Fokker F27 Friendship",0,42.2189781,3.3304072
"350","Apr 1, 2017 at 1030 LT","Yei, Central Equatoria ","Let 410UVP",0,30.6775054,4.0952713
"351","Mar 30, 2017","La Paragua, Bolívar","PZL-Mielec AN-2",0,-63.3505606,6.8352019
"352","Mar 28, 2017 at 1628 LT","Jauja, Junín","Boeing 737-300",0,-75.4869033,-11.7806236
"353","Mar 20, 2017 at 1500 LT","Wau, Western Bahr el Ghazal ","Antonov AN-26",0,27.9834738,7.7091884
"354","Feb 15, 2017 at 2000 LT","Chichén Itzá, Yucatán","Piper PA-46 Malibu Meridian (Malibu Mirage)",0,-88.5677826,20.6842849
"355","Oct 11, 2016 at 1638 LT","Belaya Gora, Republic of Yakutia ","Antonov AN-26",0,146.229003,68.5561496
"356","Sep 13, 2016","Wamena, Special Region of Papua","Boeing 737-300",0,138.9516853,-4.1001213
"357","Jun 26, 2016 at 1109 LT","Dervenochoria, Central Greece / Ste","Canadair CL-215",0,NA,NA
"358","Jun 14, 2016 at 0758 LT","Lolat, Special Region of Papua","Cessna 208B Grand Caravan",0,NA,NA
"359","Apr 6, 2016 at 0625 LT","Puerto Gaitán, Casanare","Douglas DC-3",0,-71.45001,6.25002
"360","Mar 18, 2016 at 1630 LT","Oeiras, Piauí","Beechcraft King Air 90",0,-42.1572702,-7.0386232
"361","Jan 30, 2016 at 0738 LT","Santiago de Querétaro, Querétaro","Rockwell Sabreliner 75",0,-100.3898881,20.5887932
"362","Nov 2, 2015","Koussané, Kayes","Fokker F27 Friendship",0,-11.2339605,14.8849445
"363","Oct 12, 2015 at 1930 LT","Afgooye, Shabeellaha Hoose ","Airbus A300",0,45.1167167,2.1426226
"364","Sep 30, 2015 at 1016 LT","Saarbrücken, Saarland","De Havilland Dash-8-400",0,6.9969327,49.2401572
"365","Sep 25, 2015 at 1200 LT","Déline, Northwest Territories","Curtiss C-46",0,-123.4227517,65.1888507
"366","Jul 2, 2015 at 1709 LT","Kuredu Island, North Central Province","De Havilland DHC-6 Twin Otter",0,NA,NA
"367","Jun 25, 2015 at 1309 LT","Okcheon, North Chungcheong ","Antonov AN-2",0,127.5712809,36.3063646
"368","May 21, 2015","Monterrey-Del Norte, Nuevo León","Cessna 421 Golden Eagle",0,-100.303487,25.7123781
"369","May 19, 2015","Mandeng, Upper Nile ","Cessna 208 Caravan",0,NA,NA
"370","Apr 25, 2015 at 1041 LT","Istanbul-Atatürk, Marmara Region ","Airbus A320",0,28.8104425,40.9829888
"371","Mar 4, 2015 at 1515 LT","Wamena, Special Region of Papua","BAe ATP",0,138.9516853,-4.1001213
"372","Jul 28, 2014 at 1500 LT","Foz do Iguaçu, Paraná","Embraer EMB-110 Bandeirante",0,-54.5853764,-25.5163356
"373","Jun 13, 2014","Aruanã, Goiás","Cessna 525 CJ1",0,-51.075466,-14.9170433
"374","Jun 2, 2014 at 1700 LT","Bahía Solano, Chocó","Beechcraft Super King Air 200",0,-77.401154,6.222552
"375","Apr 27, 2014","Deán Funes, Córdoba","Piper PA-31-350 Navajo Chieftain",0,-64.349403,-30.4240924
"376","Apr 20, 2014","Guriceel, Galgaduud ","Fokker 50",0,45.8802073,5.303435
"377","Dec 19, 2013 at 2100 LT","Viña del Mar, Región de Valparaíso","Beechcraft King Air 90",0,-71.5500276,-33.0153481
"378","Nov 30, 2013","Omega AFB, Kavango Region","Antonov AN-26",0,NA,NA
"379","Aug 25, 2013 at 1604 LT","Guriceel, Galgaduud ","Antonov AN-26",0,45.8802073,5.303435
"380","Jul 21, 2013 at 0635 LT","Pyatikhatki, Autonomous Republic of Crimea","PZL-Mielec AN-2",0,NA,NA
"381","Jul 19, 2013 at 1234 LT","Panama City, Panamá","Britten-Norman Islander",0,-79.5198696,8.9823792
"382","May 31, 2013 at 0709 LT","Wamena, Special Region of Papua","BAe ATP",0,138.9516853,-4.1001213
"383","Apr 6, 2013 at 1200 LT","Morelia, Michoacán","Cessna 421B Golden Eagle II",0,-101.1949825,19.7059504
"384","Feb 28, 2013","Wau, Western Bahr el Ghazal ","Let 410UVP",0,27.9834738,7.7091884
"385","Dec 31, 2012 at 1014 LT","San Pedro Sula, Cortés","BAe Jetstream 31",0,-87.9922684,15.5149204
"386","Nov 21, 2012 at 1331 LT","Deputatsky, Republic of Yakutia ","Antonov AN-26",0,NA,NA
"387","Nov 19, 2012","Yida, Unity ","Antonov AN-26",0,30.0829075,10.1055751
"388","Nov 15, 2012 at 1700 LT","Aweil, Northern Bahr el Ghazal ","Fokker 50",0,27.3998369,8.7670867
"389","Nov 11, 2012 at 1727 LT","São Paulo, São Paulo","Cessna 525 CJ3",0,-46.6333094,-23.5505199
"390","Oct 28, 2012 at 1200 LT","Bir Kalait, Wadi Fira","Beechcraft 1900D",0,NA,NA
"391","Oct 14, 2012 at 0400 LT","Antalya, Mediterranean Region ","Boeing 737-800",0,30.7133233,36.8968908
"392","Oct 13, 2012 at 1954 LT","Campinas-Viracopos, São Paulo","McDonnell Douglas MD-11",0,-47.1375685,-23.008205
"393","Sep 15, 2012 at 1340 LT","Rønne ","Learjet 24",0,14.708329,55.101017
"394","Jul 24, 2012 at 1610 LT","Jacarepaguá, Rio de Janeiro","Piper PA-31-350 Navajo Chieftain",0,-43.3907025,-22.9681736
"395","Jul 4, 2012 at 1900 LT","El Palomar AFB, Buenos Aires province","Rockwell Sabreliner 75",0,NA,NA
"396","Jul 1, 2012 at 1045 LT","Bollullos de la Mitación-La Juliana, Andalusia","Technoavia SM-92 Turbo Finist",0,-6.169176,37.314636
"397","May 25, 2012 at 1710 LT","Lézignan-Corbières, Aude","Cessna 208B Grand Caravan",0,2.7577759,43.200503
"398","May 23, 2012 at 1150 LT","Cáslav, Central Bohemian Region ","Antonov AN-30",0,15.3907936,49.9108953
"399","Apr 15, 2012","Yida, Unity ","Fokker F27 Friendship",0,30.0829075,10.1055751
"400","Apr 2, 2012","Doro, Upper Nile ","Avro 748",0,32.2749747,30.5976048
"401","Mar 29, 2012 at 0945 LT","Wau, Western Bahr el Ghazal ","Fokker 50",0,27.9834738,7.7091884
"402","Mar 23, 2012 at 1500 LT","Phanom Thuan, Kanchanaburi ","Pilatus PC-6 (Porter & Turbo Porter)",0,99.6786894,14.136869
"403","Feb 9, 2012 at 1200 LT","Punto Fijo, Falcón","Cessna 402",0,-70.1813018,11.711511
"404","Dec 18, 2011 at 1502 LT","Walan Rabat, Zabul","PZL-Mielec AN-28",0,NA,NA
"405","Oct 12, 2011 at 0800 LT","Port Gentil, Ogooué-Maritime ","Embraer EMB-120 Brasília",0,8.7591311,-0.7351026
"406","Oct 10, 2011 at 1315 LT","Antalya, Mediterranean Region ","Boeing 737-400",0,30.7133233,36.8968908
"407","Oct 7, 2011 at 1730 LT","Manhuaçu, Minas Gerais","Cessna 550 Citation II",0,-42.030947,-20.2555875
"408","Oct 3, 2011","Newnan, Georgia","Dassault Falcon 20",0,-84.7996573,33.3806716
"409","Sep 26, 2011 at 0855 LT","Puerto Ordaz, Bolívar","Douglas DC-9",0,-62.7676633,8.2750921
"410","Sep 4, 2011 at 1535 LT","Ottawa, Ontario","Embraer ERJ-145",0,-75.6971931,45.4215296
"411","Aug 8, 2011 at 1420 LT","Blagoveshchensk, Amur oblast","Antonov AN-24",0,127.5404017,50.2727763
"412","Jul 30, 2011 at 0132 LT","Georgetown, Guyana","Boeing 737-800",0,-58.1551255,6.8012793
"413","Jul 14, 2011","Port Harcourt, Rivers","Cessna 560XLS Citation Excel",0,7.0498442,4.815554
"414","Jun 16, 2011 at 0950 LT","Zaraza, Guárico","Piper PA-31-350 Navajo Chieftain",0,-65.3261218,9.3507596
"415","Apr 20, 2011","Bahía Blanca, Buenos Aires province","Grumman S-2 Tracker",0,-62.2663478,-38.7183177
"416","Apr 15, 2011 at 1200 LT","Valparaíso, Región de Valparaíso","Piper PA-31-350 Navajo Chieftain",0,-71.6126885,-33.047238
"417","Mar 4, 2011 at 1609 LT","Nuuk ","De Havilland Dash-8-100",0,-51.6941381,64.1814099
"418","Feb 25, 2011 at 1700 LT","Arapongas, Paraná","Embraer EMB-820 Navajo",0,-51.4264048,-23.4157731
"419","Feb 21, 2011 at 1930 LT","Altamira, Pará","ATR72-200",0,-52.2104006,-3.1986664
"420","Jan 19, 2011","Tharjath, Unity ","Cessna 208B Grand Caravan",0,30.316667,8.466667
"421","Dec 12, 2010 at 2140 LT","Londrina, Paraná","Beechcraft King Air 90",0,-51.1695824,-23.3044524
"422","Nov 13, 2010 at 1602 LT","Andahuaylas, Apurímac","Swearingen SA227AC Metro III",0,-73.3767641,-13.6616515
"423","Nov 5, 2010 at 1423 LT","Huánuco, Huánuco","Swearingen SA227AC Metro III",0,-76.2432653,-9.9298454
"424","Sep 5, 2010 at 1526 LT","Pointe-à-Pitre, Guadeloupe","Cessna 208B Grand Caravan",0,-61.5340424,16.2376869
"425","Aug 25, 2010 at 1440 LT","Vitória da Conquista, Bahia","Embraer ERJ-145",0,-40.8445346,-14.8619237
"426","Jul 28, 2010 at 1200 LT","Camp Dwyer AFB, Helmand","Antonov AN-12",0,NA,NA
"427","Jul 27, 2010 at 1138 LT","Riyadh, Mantiqat ar Riya","McDonnell Douglas MD-11",0,46.6752957,24.7135517
"428","Jun 4, 2010 at 1200 LT","Sharana AFB, Parwan","Lockheed C-130 Hercules",0,NA,NA
"429","May 19, 2010 at 0530 LT","Cascavel, Paraná","Embraer EMB-110 Bandeirante",0,-53.4595112,-24.9577771
"430","May 10, 2010 at 1719 LT","Alert AFB, Nunavut","De Havilland DHC-6 Twin Otter",0,NA,NA
"431","May 5, 2010 at 1049 LT","Mitú, Vaupés","Embraer ERJ-145",0,-70.233618,1.2521739
"432","Jan 28, 2010 at 1251 LT","Wamena, Special Region of Papua","Antonov AN-26",0,138.9516853,-4.1001213
"433","Jan 15, 2010 at 1407 LT","Les Eplatures, Neuchâtel","Beechcraft King Air 90",0,6.7967059,47.0850198
"434","Jan 4, 2010 at 0910 LT","Heglig, South Kordofan ","Antonov AN-12",0,29.4063234,10.002559
"435","Dec 1, 2009 at 1200 LT","São Paulo, São Paulo","Boeing 727-200",0,-46.6333094,-23.5505199
"436","Nov 5, 2009 at 1534 LT","Fort Pierce, Florida","Grumman G-64 Albatross",0,-80.3256056,27.4467056
"437","Oct 16, 2009 at 1140 LT","Kangerlussuaq ","Piaggio P.180 Avanti",0,-50.7211501,67.0094782
"438","Sep 28, 2009 at 1240 LT","Ozuki AFB, Chugoku","NAMC YS-11",0,NA,NA
"439","Jul 6, 2009 at 0950 LT","Sarif-Umra, North Darfur ","PZL-Mielec AN-28",0,NA,NA
"440","Jun 27, 2009","Salerno AFB, Khost","BAe Jetstream 31",0,NA,NA
"441","Jun 26, 2009 at 1726 LT","Capurganá, Chocó","Let 410UVP",0,-77.343621,8.634648
"442","Jun 9, 2009 at 1300 LT","Kadamdzhayskom, Batken Province","PZL-Mielec AN-2",0,NA,NA
"443","May 28, 2009 at 1055 LT","Quevedo, Los Ríos","De Havilland DHC-5 Buffalo",0,-79.4604035,-1.0225124
"444","May 8, 2009 at 1556 LT","Riyadh, Mantiqat ar Riya","McDonnell Douglas MD-90",0,46.6752957,24.7135517
"445","May 4, 2009 at 1430 LT","Seongnam AFB ","Antonov AN-2",0,127.1081565,37.4420547
"446","Mar 26, 2009","Dolinsk-Sokol AFB, Sakhalin oblast","Tupolev TU-134",0,NA,NA
"447","Feb 18, 2009 at 1510 LT","Medellín, Antioquia","Basler BT-67",0,-75.5812119,6.244203
"448","Feb 12, 2009 at 1825 LT","Heraklion, Crete / ","BAe Jetstream 31",0,25.1442126,35.3387352
"449","Nov 6, 2008 at 1033 LT","Fakfak, Special Region of West Papua","Dornier DO328",0,NA,NA
"450","Sep 3, 2008 at 1436 LT","São Paulo, São Paulo","Beechcraft King Air 90",0,-46.6333094,-23.5505199
"451","Aug 31, 2008 at 0735 LT","Yaxcaba, Yucatán","Cessna 208 Caravan",0,-88.8276919,20.5478862
"452","Aug 29, 2008","Osinovy Mys, Krasnoyarsk Krai","PZL-Mielec AN-2",0,NA,NA
"453","Jul 26, 2008","San Andrés, Antioquia","Cessna 414 Chancellor",0,-75.67556,6.913245
"454","Jul 15, 2008","São José dos Campos, São Paulo","Beechcraft Beechjet 400",0,-45.9009074,-23.223701
"455","Jul 1, 2008","Divinópolis, Minas Gerais","Cessna 208B Grand Caravan",0,-44.8916447,-20.1451261
"456","Mar 19, 2008 at 1745 LT","Mannheim, Baden-Württemberg","Dornier DO328",0,8.4660395,49.4874592
"457","Mar 6, 2008 at 0920 LT","Wamena, Special Region of Papua","Transall C-160",0,138.9516853,-4.1001213
"458","Feb 2, 2008","Lomé, Maritime","Boeing 747-200",0,1.2313618,6.1724969
"459","Jan 28, 2008 at 2302 LT","Bogotá, Bogotá Capital District","De Havilland Dash-8-200",0,-74.072092,4.7109886
"460","Jan 3, 2008 at 1125 LT","Bahia Piña, Darién","Britten-Norman Islander",0,-78.2011484,7.5851775
"461","Nov 5, 2007 at 0850 LT","Culiacán Rosales, Sinaloa","Cessna 208 Caravan",0,-107.3940117,24.8090649
"462","Oct 31, 2007 at 1540 LT","Panama City, Panamá","Fokker F27 Friendship",0,-79.5198696,8.9823792
"463","Oct 11, 2007 at 1929 LT","Istanbul, Marmara Region ","McDonnell Douglas MD-83",0,28.9783589,41.0082376
"464","Oct 4, 2007 at 1844 LT","Istanbul, Marmara Region ","Canadair CL-215",0,28.9783589,41.0082376
"465","Sep 24, 2007 at 1200 LT","Tixkokob, Yucatán","Gulfstream GII",0,-89.393793,21.0032395
"466","Sep 12, 2007 at 0136 LT","Vilnius, Dzukija ","De Havilland Dash-8-400",0,25.2645288,54.6481364
"467","Sep 3, 2007","San José, San José ","Rockwell Sabreliner 75",0,-84.0907246,9.9280694
"468","Aug 27, 2007 at 0950 LT","Mitú, Vaupés","Antonov AN-32",0,-70.233618,1.2521739
"469","Aug 26, 2007 at 1200 LT","La Ceiba, Atlántida","Britten-Norman Islander",0,-86.7919009,15.770288
"470","Aug 22, 2007 at 1510 LT","Pasto, Nariño","Antonov AN-26",0,-77.285787,1.2058837
"471","Aug 12, 2007 at 0938 LT","Busan, Busan ","De Havilland Dash-8-400",0,129.0756416,35.1795543
"472","Jul 21, 2007 at 1655 LT","Rio Antabari, Bolívar","Cessna 208 Caravan",0,NA,NA
